ID,Player Name,Position,Team,Salary,DK-Avg-Pts,FantasyProsProj,,,,,Name,Position,Salary,GameInfo,AvgPointsPerGame
119,Daniel Fells,TE,NYG,3000,6.071,1.8,,,,,Daniel Herron,RB,3000,Ind@NYG 08:30PM ET,0.988
120,Daniel Thomas,RB,MIA,3000,6.15,3.6,,,,,Daniel Thomas,RB,3000,SD@Mia 01:00PM ET,6.15
121,Danny Amendola,WR,NE,3000,2.213,1.4,,,,,Danny Amendola,WR,3000,Den@NE 04:25PM ET,2.213
122,Da'Rick Rogers,WR,IND,3000,1.3,0,,,,,Darrel Young,RB,3000,Was@Min 01:00PM ET,4.125
123,Darrel Young,RB,WAS,3000,4.125,0.7,,,,,Darren Fells,TE,3000,Ari@Dal 01:00PM ET,0
124,Darren Fells,TE,ARI,3000,0,0,,,,,Darren McFadden,RB,4800,Oak@Sea 04:25PM ET,11.029
125,Darren McFadden,RB,OAK,4800,11.029,6.8,,,,,Darren Sproles,RB,4100,Phi@Hou 01:00PM ET,13.817
126,Darren Sproles,RB,PHI,4100,13.817,3.2,,,,,Darrin Reaves,RB,3000,NO@Car 08:25PM ET,2.633
127,Darrin Reaves,RB,CAR,3000,2.633,-0.4,,,,,Darrius Heyward-Bey,WR,3000,Bal@Pit 08:30PM ET,0.663
128,Darrius Heyward-Bey,WR,PIT,3000,0.663,0.6,,,,,David Ausberry,TE,3000,Oak@Sea 04:25PM ET,0.567
129,David Ausberry,TE,OAK,3000,0.567,0.1,,,,,David Johnson,TE,3000,SD@Mia 01:00PM ET,0
130,David Garrard,QB,NYJ,3000,0.567,0,,,,,DeAndre Hopkins,WR,5400,Phi@Hou 01:00PM ET,14.488
131,David Johnson,TE,SD,3000,0,0,,,,,DeAngelo Williams,RB,3300,NO@Car 08:25PM ET,5.3
132,DeAndre Hopkins,WR,HOU,5400,14.488,11.7,,,,,De'Anthony Thomas,RB,3000,NYJ@KC 01:00PM ET,5.567
133,DeAngelo Williams,RB,CAR,3000,5.567,7.3,,,,,DeMarco Murray,RB,9000,Ari@Dal 01:00PM ET,27.038
134,De'Anthony Thomas,RB,KC,3000,0,2.1,,,,,Demaryius Thomas,WR,9000,Den@NE 04:25PM ET,24.814
135,DeMarco Murray,RB,DAL,9000,27.038,17.8,,,,,Demetrius Harris,TE,3000,NYJ@KC 01:00PM ET,0.486
136,Demaryius Thomas,WR,DEN,9000,24.814,16.3,,,,,Denard Robinson,RB,4800,Jax@Cin 01:00PM ET,7.7
137,Demetrius Harris,TE,KC,3000,0.486,0.1,,,,,Denarius Moore,WR,3000,Oak@Sea 04:25PM ET,3.283
138,Denard Robinson,RB,JAC,4800,7.7,10.7,,,,,Derek Anderson,QB,5000,NO@Car 08:25PM ET,8.49
139,Denarius Moore,WR,OAK,3000,3.283,1,,,,,Derek Carr,QB,5300,Oak@Sea 04:25PM ET,14.34
140,Derek Anderson,QB,CAR,5000,8.49,0,,,,,Derek Carrier,TE,3000,StL@SF 04:05PM ET,2.586
141,Derek Carr,QB,OAK,5300,14.34,10.5,,,,,DeSean Jackson,WR,6000,Was@Min 01:00PM ET,16
142,Derek Carrier,TE,SF,3000,2.586,0.3,,,,,DeVier Posey,WR,3000,Phi@Hou 01:00PM ET,0
143,Derrick Coleman,RB,SEA,3000,2.586,0,,,,,Devin Street,WR,3000,Ari@Dal 01:00PM ET,0.475
144,DeSean Jackson,WR,WAS,6000,16,12.1,,,,,Dez Bryant,WR,8200,Ari@Dal 01:00PM ET,18.25
145,DeVier Posey,WR,HOU,3000,0,0,,,,,Dion Sims,TE,3000,SD@Mia 01:00PM ET,3.514
146,Devin Street,WR,DAL,3000,0.475,0.3,,,,,Dolphins,DST,3100,SD@Mia 01:00PM ET,11.429
147,Dez Bryant,WR,DAL,8200,18.25,15.6,,,,,Donald Brown,RB,3000,SD@Mia 01:00PM ET,6.64
148,Dion Sims,TE,MIA,3000,3.514,1.1,,,,,Donnie Avery,WR,3000,NYJ@KC 01:00PM ET,7.4
149,Donald Brown,RB,SD,3000,6.64,0,,,,,Donte Moncrief,WR,5300,Ind@NYG 08:30PM ET,5.913
150,Donnie Avery,WR,KC,3000,7.4,0,,,,,Dontrelle Inman,WR,3000,SD@Mia 01:00PM ET,0
151,Donte Moncrief,WR,IND,5300,5.913,6.7,,,,,Doug Baldwin,WR,5100,Oak@Sea 04:25PM ET,10.729
152,Dontrelle Inman,WR,SD,3000,0,0,,,,,Doug Martin,RB,3900,TB@Cle 01:00PM ET,7.4
153,Doug Baldwin,WR,SEA,5100,10.729,10.5,,,,,Drew Brees,QB,8300,NO@Car 08:25PM ET,22.254
154,Doug Martin,RB,TB,3900,7.4,2.5,,,,,Drew Stanton,QB,5000,Ari@Dal 01:00PM ET,10.187
155,Drew Brees,QB,NO,8300,22.254,19.7,,,,,Dri Archer,WR,3000,Bal@Pit 08:30PM ET,1.433
156,Drew Stanton,QB,ARI,5000,10.187,0,,,,,Dustin Vaughan,QB,5000,Ari@Dal 01:00PM ET,0
157,Dri Archer,RB,PIT,3000,1.433,1,,,,,Dwayne Allen,TE,4100,Ind@NYG 08:30PM ET,11.325
158,Dwayne Allen,TE,IND,4100,11.325,9.3,,,,,Dwayne Bowe,WR,4500,NYJ@KC 01:00PM ET,9.883
159,Dwayne Bowe,WR,KC,4500,9.883,7.6,,,,,Dwayne Harris,WR,3000,Ari@Dal 01:00PM ET,1.9
160,Dwayne Harris,WR,DAL,3000,1.9,0.5,,,,,Eagles,DST,3400,Phi@Hou 01:00PM ET,13.714
161,Ed Dickson,TE,CAR,3000,0.738,0.5,,,,,Ed Dickson,TE,3000,NO@Car 08:25PM ET,0.738
162,Eddie Royal,WR,SD,3800,12.038,4.2,,,,,Eddie Royal,WR,3800,SD@Mia 01:00PM ET,12.038
163,Eli Manning,QB,NYG,7300,17.789,15.5,,,,,Edwin Baker,RB,3000,NO@Car 08:25PM ET,0
164,Emmanuel Sanders,WR,DEN,8000,21.243,13.6,,,,,Eli Manning,QB,7300,Ind@NYG 08:30PM ET,17.789
165,Eric Decker,WR,NYJ,4700,12.186,8.1,,,,,Emmanuel Sanders,WR,8000,Den@NE 04:25PM ET,21.243
166,Erik Lorig,RB,NO,3000,0.8,0.4,,,,,Eric Decker,WR,4700,NYJ@KC 01:00PM ET,12.186
167,Fozzy Whittaker,RB,CAR,3000,4.4,0.6,,,,,Erik Lorig,RB,3000,NO@Car 08:25PM ET,0.8
168,Frank Gore,RB,SF,3800,10.157,12.8,,,,,Fozzy Whittaker,RB,3000,NO@Car 08:25PM ET,4.4
169,Frankie Hammond,WR,KC,3800,10.157,0.7,,,,,Frank Gore,RB,3800,StL@SF 04:05PM ET,10.157
170,Garrett Celek,TE,SF,3000,0.729,0,,,,,Frankie Hammond Jr.,WR,3000,NYJ@KC 01:00PM ET,0.729
171,Garrett Graham,TE,HOU,3000,3.457,1.6,,,,,Garrett Graham,TE,3000,Phi@Hou 01:00PM ET,3.457
172,Gary Barnidge,TE,CLE,3000,1.486,0.8,,,,,Gary Barnidge,TE,3000,TB@Cle 01:00PM ET,1.486
173,Gator Hoskins,TE,MIA,3000,1.486,0,,,,,Gavin Escobar,TE,3400,Ari@Dal 01:00PM ET,4.188
