Pid,Pn,Name,S,Team,Or,Ppg,Projected,Value,Home,Last 10,vsBackup,isStarting,isStarter,Ppg - Archive,Tid,Htid,Atid,Htabbr,Atabbr,Posid,Isdisabledfromdrafting,Exceptionalmessages,,Swp,Pp,I,News
544288,RW,Ben Smith,"2,500.00",Chi,6.00,1.30,1.04,0.416,FALSE,,,,,1.3,4957,4980,4957,Nsh,Chi,93,,,,true,1,O,2
554554,C,Joakim Nordstrom,"2,500.00",Chi,2.00,1.30,1.04,0.416,FALSE,,,,,1.3,4957,4980,4957,Nsh,Chi,91,,,,true,1,O,1
379101,RW,Torrey Mitchell,"2,500.00",Buf,5.00,1.30,1.04,0.416,FALSE,,,,,1.3,4955,4979,4955,Fla,Buf,93,,,,true,1,DTD,1
790352,RW,Barclay Goodrow,"2,500.00",SJ,19.00,1.00,1,0.4,FALSE,,,,,1.0,4971,4956,4971,Cgy,SJ,93,,,,true,1,O,1
302331,D,Andre Benoit,"2,500.00",Buf,19.00,1.00,1,0.4,FALSE,,,,,1.0,4955,4979,4955,Fla,Buf,94,,,,true,1,DTD,2
170546,LW,Dainius Zubrus,"2,500.00",NJ,4.00,1.10,0.99,0.396,TRUE,,,,,1.1,4964,4964,4976,NJ,Was,92,,,,true,1,O,2
600108,LW,Sven Baertschi,"2,500.00",Cgy,19.00,0.90,0.99,0.396,TRUE,,,,,0.9,4956,4956,4971,Cgy,SJ,92,,,,true,1,O,1
170997,LW,Brenden Morrow,"2,500.00",TB,25.00,0.80,0.96,0.384,TRUE,,,,,0.8,4973,4973,4982,TB,Cls,92,,,,true,1,O,2
409629,LW,Eric Tangradi,"2,500.00",Mon,30.00,0.80,0.96,0.384,FALSE,,,,,0.8,4963,4962,4963,Dal,Mon,92,,,,true,1,O,1
172369,D,Jordan Leopold,"2,900.00",Cls,9.00,1.20,0.96,0.3310344828,FALSE,,,,,1.2,4982,4973,4982,TB,Cls,94,,,,true,1,DTD,1
170955,C,Mike Fisher,"2,900.00",Nsh,10.00,0.90,0.9225,0.3181034483,TRUE,,TRUE,,,0.9,4980,4980,4957,Nsh,Chi,91,,,,true,1,DTD,1
594026,RW,Mike Sislo,"2,500.00",NJ,8.00,1.00,0.9,0.36,TRUE,,,,,1.0,4964,4964,4976,NJ,Was,93,,,,true,1,O,2
504296,D,David Rundblad,"2,500.00",Chi,14.00,0.90,0.9,0.36,FALSE,,,,,0.9,4957,4980,4957,Nsh,Chi,94,,,,true,1,O,2
