Pid,Pn,Name,S,Team,Or,Ppg,Projected,Home,Last 10 Days,Archive PPG,C,W,D,G
300799,D,Jakub Kindl,"2,600.00",,30.00,1.70,5.30,TRUE,,1.7,FALSE,FALSE,TRUE,FALSE
499851,C,Paul Byron,"3,000.00",,26.00,1.90,5.30,TRUE,,1.9,TRUE,FALSE,FALSE,FALSE
339752,C,Darren Helm,"3,700.00",,29.00,1.90,5.30,TRUE,,1.9,TRUE,FALSE,FALSE,FALSE
600120,D,Connor Murphy,"2,500.00",,1.00,1.60,5.29,TRUE,,1.6,FALSE,FALSE,TRUE,FALSE
170941,LW,Simon Gagne,"3,100.00",,17.00,1.10,5.29,FALSE,,1.1,FALSE,TRUE,FALSE,FALSE
521554,D,Robert Bortuzzo,"3,100.00",,3.00,1.60,5.29,TRUE,,1.6,FALSE,FALSE,TRUE,FALSE
504319,D,Simon Despres,"2,500.00",,3.00,1.60,5.29,TRUE,,1.6,FALSE,FALSE,TRUE,FALSE
520230,LW,Matt Martin,"2,500.00",,20.00,1.10,5.29,FALSE,,1.1,FALSE,TRUE,FALSE,FALSE
452080,LW,Rob Klinkhammer,"2,500.00",,21.00,1.10,5.29,TRUE,,1.1,FALSE,TRUE,FALSE,FALSE
172504,C,Derek Roy,"3,100.00",,1.00,1.80,5.29,TRUE,,1.8,TRUE,FALSE,FALSE,FALSE
741453,D,Mirco Mueller,"2,600.00",,8.00,1.60,5.29,TRUE,,1.6,FALSE,FALSE,TRUE,FALSE
329659,C,Patrik Berglund,"3,000.00",,2.00,1.80,5.29,FALSE,,1.8,TRUE,FALSE,FALSE,FALSE
339629,RW,Mike Brown,"2,500.00",,24.00,1.10,5.29,TRUE,,1.1,FALSE,TRUE,FALSE,FALSE
653311,C,Brian Flynn,"2,700.00",,3.00,1.80,5.29,FALSE,,1.8,TRUE,FALSE,FALSE,FALSE
392959,D,Ian Cole,"2,700.00",,13.00,1.60,5.28,FALSE,,1.6,FALSE,FALSE,TRUE,FALSE
499847,D,Carl Gunnarsson,"2,500.00",,13.00,1.60,5.28,FALSE,,1.6,FALSE,FALSE,TRUE,FALSE
