Pid,Pn,Name,S,Team,Or,Ppg,new projected,Home,Last 10,vsBackup,isStarter,Ppg - Archive,Projected,HomeXOR,HomeXPpg
228968,C,Ryan Kesler,"5,100.00",,4.00,3.30,3.23,FALSE,,,,3.3,2.64,0,0
268146,LW,Andrew Ladd,"5,300.00",,23.00,3.20,3.23,TRUE,,,,3.2,4.00,23,3.2
568698,D,Jared Spurgeon,"4,300.00",,19.00,3.80,3.21,TRUE,,,,3.8,4.56,19,3.8
392942,RW,Patrick Kane,"8,500.00",,17.00,4.20,3.16,TRUE,TRUE,,,4.2,6.72,17,4.2
176123,RW,Jason Pominville,"6,500.00",,19.00,3.50,3.15,TRUE,,,,3.5,4.20,19,3.5
326141,LW,Kris Versteeg,"6,000.00",,21.00,3.40,3.14,TRUE,TRUE,,,3.4,4.93,21,3.4
600098,C,Mark Scheifele,"3,500.00",,26.00,2.00,3.09,TRUE,,,,2.0,2.60,26,2
593095,D,Tyson Barrie,"5,400.00",,12.00,3.20,3.08,FALSE,TRUE,,,3.2,3.84,0,0
478197,D,P.K. Subban,"6,200.00",,6.00,3.20,3.08,FALSE,TRUE,TRUE,,3.2,3.68,0,0
607591,LW,Brandon Saad,"4,400.00",,21.00,2.70,3.06,TRUE,,,,2.7,3.38,21,2.7
184268,D,Duncan Keith,"5,300.00",,17.00,3.40,3.06,TRUE,,,,3.4,4.08,17,3.4
229378,D,Brent Seabrook,"5,100.00",,17.00,3.40,3.06,TRUE,,,,3.4,4.08,17,3.4
447273,C,Mathieu Perreault,"3,800.00",,26.00,1.80,3.05,TRUE,,,,1.8,2.34,26,1.8
450848,LW,Matt Beleskey,"4,700.00",,12.00,3.10,3.05,FALSE,,,,3.1,3.10,0,0
550755,RW,Nino Niederreiter,"4,600.00",,19.00,3.00,3.05,TRUE,,,,3.0,3.60,19,3
